gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2573418467	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012699.jpg											
2573418457	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011295.jpg											
2573418377	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014026.jpg											
2573418360	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013069.jpg											
2573418324	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013432.jpg											
2573418261	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012657.jpg											
2573418221	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012947.jpg											
2573418136	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011733.jpg											
2573418116	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014406.jpg											
2573417995	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014778.jpg											
2573417962	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013028.jpg											
2573417737	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013150.jpg											
2573417660	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012723.jpg											
2573417350	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013002.jpg											
2573417214	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011303.jpg											
2573037300	StillImage	image/jpeg	http://storage.idigbio.org/vt/vplants/UVMVT274/UVMVT274908_lg.jpg											
2573037100	StillImage	image/jpeg	http://storage.idigbio.org/vt/vplants/UVMVT275/UVMVT275041_lg.jpg											
2573037012	StillImage	image/jpeg	http://storage.idigbio.org/vt/vplants/UVMVT274/UVMVT274871_lg.jpg											
2573036964	StillImage	image/jpeg	http://storage.idigbio.org/vt/vplants/UVMVT274/UVMVT274861_lg.jpg											
2573036769	StillImage	image/jpeg	http://storage.idigbio.org/vt/vplants/UVMVT274/UVMVT274964_lg.jpg											
2573036625	StillImage	image/jpeg	http://storage.idigbio.org/vt/vplants/UVMVT274/UVMVT274887_lg.jpg											
2573036615	StillImage	image/jpeg	http://storage.idigbio.org/vt/vplants/UVMVT275/UVMVT275076_lg.jpg											
2573036546	StillImage	image/jpeg	http://storage.idigbio.org/vt/vplants/UVMVT274/UVMVT274901_lg.jpg											
2573036527	StillImage	image/jpeg	http://storage.idigbio.org/vt/vplants/UVMVT274/UVMVT274752_lg.jpg											
2573036446	StillImage	image/jpeg	http://storage.idigbio.org/vt/vplants/UVMVT274/UVMVT274742_lg.jpg											
2573036442	StillImage	image/jpeg	http://storage.idigbio.org/vt/vplants/UVMVT274/UVMVT274954_lg.jpg											
2573036391	StillImage	image/jpeg	http://storage.idigbio.org/vt/vplants/UVMVT274/UVMVT274899_lg.jpg											
